,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_Ratio,EU_Sales_Ratio,JP_Sales_Ratio,Other_Sales_Ratio
18,19,Super Mario World,SNES,1990.0,Platform,Desconocido,12.78,3.75,3.54,0.55,20.61,0.6200873362445415,0.1819505094614265,0.1717612809315866,0.02668607472100922
19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Desconocido,4.75,9.26,4.16,2.05,20.22,0.23491592482690407,0.4579624134520277,0.20573689416419388,0.10138476755687438
20,21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Desconocido,6.42,4.52,6.04,1.37,18.36,0.3496732026143791,0.24618736383442263,0.32897603485838783,0.07461873638344227
21,22,Super Mario Land,GB,1989.0,Platform,Desconocido,10.83,2.71,4.18,0.42,18.14,0.5970231532524807,0.149393605292172,0.23042998897464165,0.02315325248070562
22,23,Super Mario Bros. 3,NES,1988.0,Platform,Desconocido,9.54,3.44,3.84,0.46,17.28,0.5520833333333333,0.19907407407407407,0.2222222222222222,0.02662037037037037
23,24,Grand Theft Auto V,X360,2013.0,Action,Desconocido,9.63,5.31,0.06,1.38,16.38,0.587912087912088,0.3241758241758242,0.003663003663003663,0.08424908424908424
24,25,Grand Theft Auto: Vice City,PS2,2002.0,Action,Desconocido,8.41,5.49,0.47,1.78,16.15,0.5207430340557276,0.33993808049535607,0.02910216718266254,0.11021671826625389
25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Desconocido,6.06,3.9,5.38,0.5,15.85,0.38233438485804416,0.24605678233438485,0.33943217665615144,0.031545741324921134
26,27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Desconocido,5.57,3.28,5.65,0.82,15.32,0.36357702349869453,0.21409921671018275,0.36879895561357706,0.05352480417754569
27,28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Desconocido,3.44,5.36,5.32,1.18,15.3,0.22483660130718952,0.35032679738562095,0.3477124183006536,0.07712418300653594
28,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Desconocido,6.85,5.09,1.87,1.16,14.98,0.45727636849132175,0.3397863818424566,0.12483311081441922,0.0774365821094793
29,30,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Desconocido,9.03,4.28,0.13,1.32,14.76,0.6117886178861788,0.2899728997289973,0.00880758807588076,0.08943089430894309
30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Desconocido,5.89,5.04,3.12,0.59,14.64,0.4023224043715847,0.3442622950819672,0.21311475409836064,0.04030054644808743
31,32,Call of Duty: Black Ops,X360,2010.0,Shooter,Desconocido,9.67,3.73,0.11,1.13,14.64,0.66051912568306,0.2547814207650273,0.007513661202185792,0.07718579234972676
32,33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Desconocido,5.17,4.05,4.34,0.79,14.35,0.36027874564459933,0.28222996515679444,0.3024390243902439,0.055052264808362374
33,34,Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Desconocido,5.77,5.81,0.35,2.31,14.24,0.4051966292134831,0.40800561797752805,0.024578651685393256,0.1622191011235955
34,35,Call of Duty: Black Ops II,PS3,2012.0,Shooter,Desconocido,4.99,5.88,0.65,2.52,14.03,0.35566642908054175,0.4191019244476123,0.046329294369208844,0.17961511047754813
35,36,Call of Duty: Black Ops II,X360,2012.0,Shooter,Desconocido,8.25,4.3,0.07,1.12,13.73,0.6008739985433358,0.31318281136198106,0.005098324836125274,0.08157319737800438
36,37,Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Desconocido,8.52,3.63,0.08,1.29,13.51,0.6306439674315322,0.2686898593634345,0.005921539600296078,0.09548482605477425
37,38,Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Desconocido,5.54,5.82,0.49,1.62,13.46,0.4115898959881129,0.4323922734026746,0.03640416047548291,0.12035661218424963
38,39,Grand Theft Auto III,PS2,2001.0,Action,Desconocido,6.99,4.51,0.3,1.3,13.1,0.5335877862595421,0.34427480916030534,0.022900763358778626,0.09923664122137406
39,40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Desconocido,6.75,2.61,2.66,1.02,13.04,0.517638036809816,0.20015337423312884,0.2039877300613497,0.07822085889570553
40,41,Call of Duty: Black Ops,PS3,2010.0,Shooter,Desconocido,5.98,4.44,0.48,1.83,12.73,0.46975648075412413,0.3487824037706206,0.03770620581304006,0.14375490966221524
41,42,Animal Crossing: Wild World,DS,2005.0,Simulation,Desconocido,2.55,3.52,5.33,0.88,12.27,0.20782396088019559,0.28687856560717195,0.4343928280358598,0.07171964140179299
42,43,Mario Kart 7,3DS,2011.0,Racing,Desconocido,4.74,3.91,2.67,0.89,12.21,0.3882063882063882,0.3202293202293202,0.21867321867321865,0.07289107289107288
43,44,Halo 3,X360,2007.0,Shooter,Desconocido,7.97,2.83,0.13,1.21,12.14,0.6565074135090609,0.2331136738056013,0.010708401976935749,0.09967051070840197
44,45,Grand Theft Auto V,PS4,2014.0,Action,Desconocido,3.8,5.81,0.36,2.02,11.98,0.3171953255425709,0.4849749582637729,0.030050083472454088,0.1686143572621035
45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Desconocido,4.4,2.77,3.96,0.77,11.9,0.3697478991596639,0.23277310924369748,0.33277310924369746,0.06470588235294118
46,47,Super Mario 64,N64,1996.0,Platform,Desconocido,6.91,2.85,1.91,0.23,11.89,0.5811606391925989,0.23969722455845247,0.16063919259882253,0.01934398654331371
47,48,Gran Turismo 4,PS2,2004.0,Racing,Desconocido,3.01,0.01,1.1,7.53,11.66,0.258147512864494,0.0008576329331046312,0.09433962264150944,0.6457975986277873
48,49,Super Mario Galaxy,Wii,2007.0,Platform,Desconocido,6.16,3.4,1.2,0.76,11.52,0.5347222222222222,0.2951388888888889,0.10416666666666667,0.06597222222222222
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Desconocido,4.23,3.37,3.08,0.65,11.33,0.37334510150044137,0.2974404236540159,0.27184466019417475,0.05736981465136805
50,51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Desconocido,6.16,2.04,2.69,0.29,11.18,0.5509838998211092,0.18246869409660108,0.240608228980322,0.0259391771019678
51,52,Grand Theft Auto IV,X360,2008.0,Action,Desconocido,6.76,3.1,0.14,1.03,11.02,0.6134301270417423,0.2813067150635209,0.012704174228675138,0.09346642468239565
52,53,Gran Turismo,PS,1997.0,Racing,Desconocido,4.02,3.87,2.54,0.52,10.95,0.36712328767123287,0.3534246575342466,0.2319634703196347,0.047488584474885846
53,54,Super Mario 3D Land,3DS,2011.0,Platform,Desconocido,4.89,2.99,2.13,0.78,10.79,0.4531974050046339,0.2771084337349398,0.1974050046339203,0.07228915662650603
54,55,Gran Turismo 5,PS3,2010.0,Racing,Desconocido,2.96,4.88,0.81,2.12,10.77,0.27483751160631387,0.4531104921077066,0.07520891364902507,0.19684308263695452
55,56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Desconocido,4.99,3.69,0.38,1.63,10.69,0.46679139382600565,0.34518241347053324,0.03554724041159963,0.15247895229186156
56,57,Grand Theft Auto IV,PS3,2008.0,Action,Desconocido,4.76,3.76,0.44,1.62,10.57,0.45033112582781454,0.35572374645222327,0.04162724692526017,0.1532639545884579
57,58,Super Mario All-Stars,SNES,1993.0,Platform,Desconocido,5.99,2.15,2.12,0.29,10.55,0.5677725118483412,0.20379146919431276,0.2009478672985782,0.02748815165876777
58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Desconocido,4.34,2.65,3.15,0.35,10.49,0.41372735938989513,0.2526215443279313,0.3002859866539561,0.03336510962821735
59,60,Super Mario 64,DS,2004.0,Platform,Desconocido,5.08,3.11,1.25,0.98,10.42,0.4875239923224568,0.29846449136276393,0.1199616122840691,0.09404990403071017
60,61,Just Dance 3,Wii,2011.0,Misc,Desconocido,6.05,3.15,0.0,1.07,10.26,0.5896686159844055,0.30701754385964913,0.0,0.10428849902534114
61,62,Call of Duty: Ghosts,X360,2013.0,Shooter,Desconocido,6.72,2.63,0.04,0.82,10.21,0.6581782566111655,0.25759059745347695,0.0039177277179236044,0.08031341821743387
62,63,Halo: Reach,X360,2010.0,Shooter,Desconocido,7.03,1.98,0.08,0.78,9.88,0.7115384615384615,0.20040485829959512,0.008097165991902834,0.07894736842105263
63,64,Mario Kart 64,N64,1996.0,Racing,Desconocido,5.55,1.94,2.23,0.15,9.87,0.5623100303951368,0.1965552178318136,0.2259371833839919,0.015197568389057751
64,65,New Super Mario Bros. 2,3DS,2012.0,Platform,Desconocido,3.66,3.07,2.47,0.63,9.82,0.3727087576374745,0.3126272912423625,0.2515274949083503,0.06415478615071284
65,66,Halo 4,X360,2012.0,Shooter,Desconocido,6.63,2.36,0.04,0.73,9.76,0.6793032786885246,0.24180327868852458,0.004098360655737705,0.07479508196721311
66,67,Final Fantasy VII,PS,1997.0,Role-Playing,Desconocido,3.01,2.47,3.28,0.96,9.72,0.30967078189300407,0.25411522633744854,0.33744855967078186,0.09876543209876543
67,68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Desconocido,4.09,3.73,0.38,1.38,9.59,0.4264859228362878,0.38894681960375393,0.03962460896767466,0.14389989572471323
68,69,Just Dance 2,Wii,2010.0,Misc,Desconocido,5.84,2.89,0.01,0.78,9.52,0.6134453781512605,0.3035714285714286,0.001050420168067227,0.0819327731092437
69,70,Gran Turismo 2,PS,1999.0,Racing,Desconocido,3.88,3.42,1.69,0.5,9.49,0.4088514225500527,0.36037934668071653,0.1780821917808219,0.05268703898840885
70,71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Desconocido,5.91,2.38,0.13,0.9,9.32,0.6341201716738197,0.2553648068669528,0.013948497854077254,0.09656652360515021
71,72,Donkey Kong Country,SNES,1994.0,Platform,Desconocido,4.36,1.71,3.0,0.23,9.3,0.46881720430107526,0.18387096774193545,0.3225806451612903,0.024731182795698924
72,73,Minecraft,X360,2013.0,Misc,Desconocido,5.58,2.83,0.02,0.77,9.2,0.6065217391304348,0.30760869565217397,0.002173913043478261,0.08369565217391305
73,74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Desconocido,2.01,2.32,4.36,0.41,9.09,0.2211221122112211,0.2552255225522552,0.4796479647964797,0.045104510451045104
74,75,Mario Party DS,DS,2007.0,Misc,Desconocido,4.46,1.88,1.98,0.7,9.02,0.4944567627494457,0.20842572062084258,0.21951219512195122,0.07760532150776053
75,76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Desconocido,5.03,2.86,0.1,0.85,8.84,0.5690045248868779,0.3235294117647059,0.011312217194570137,0.09615384615384616
76,77,Super Mario Kart,SNES,1992.0,Racing,Desconocido,3.54,1.24,3.81,0.18,8.76,0.4041095890410959,0.1415525114155251,0.4349315068493151,0.02054794520547945
77,78,FIFA 16,PS4,2015.0,Sports,Desconocido,1.11,6.06,0.06,1.26,8.49,0.13074204946996468,0.7137809187279152,0.007067137809187279,0.14840989399293286
78,79,Wii Party,Wii,2010.0,Misc,Desconocido,1.79,3.53,2.49,0.68,8.49,0.21083627797408716,0.4157832744405182,0.2932862190812721,0.0800942285041225
79,80,Halo 2,XB,2004.0,Shooter,Desconocido,6.82,1.53,0.05,0.08,8.49,0.8032979976442874,0.18021201413427562,0.005889281507656066,0.009422850412249705
80,81,Mario Party 8,Wii,2007.0,Misc,Desconocido,3.81,2.3,1.58,0.73,8.42,0.4524940617577197,0.2731591448931116,0.18764845605700714,0.08669833729216152
81,82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Desconocido,2.91,1.86,3.14,0.43,8.33,0.34933973589435774,0.22328931572629052,0.37695078031212487,0.05162064825930372
82,83,FIFA Soccer 13,PS3,2012.0,Action,Desconocido,1.06,5.05,0.13,2.01,8.24,0.12864077669902912,0.6128640776699029,0.015776699029126214,0.24393203883495143
83,84,The Sims 3,PC,2009.0,Simulation,Desconocido,0.98,6.42,0.0,0.71,8.11,0.12083847102342787,0.7916152897657214,0.0,0.08754623921085081
84,85,GoldenEye 007,N64,1997.0,Shooter,Desconocido,5.8,2.01,0.13,0.15,8.09,0.7169344870210136,0.24845488257107537,0.016069221260815822,0.018541409147095178
85,86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Desconocido,2.58,3.9,0.66,0.91,8.06,0.3200992555831265,0.48387096774193544,0.08188585607940446,0.11290322580645161
86,87,Final Fantasy X,PS2,2001.0,Role-Playing,Desconocido,2.91,2.07,2.73,0.33,8.05,0.36149068322981365,0.2571428571428571,0.3391304347826087,0.040993788819875775
87,88,Final Fantasy VIII,PS,1999.0,Role-Playing,Desconocido,2.28,1.72,3.63,0.23,7.86,0.2900763358778626,0.2188295165394402,0.4618320610687023,0.029262086513994912
88,89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Desconocido,2.82,1.78,2.69,0.55,7.84,0.3596938775510204,0.22704081632653061,0.34311224489795916,0.0701530612244898
89,90,Pac-Man,2600,1982.0,Puzzle,Desconocido,7.28,0.45,0.0,0.08,7.81,0.9321382842509603,0.05761843790012804,0.0,0.010243277848911653
90,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Desconocido,2.9,2.83,0.24,1.75,7.72,0.3756476683937824,0.36658031088082904,0.031088082901554404,0.2266839378238342
91,92,Super Mario Galaxy 2,Wii,2010.0,Platform,Desconocido,3.66,2.42,0.98,0.64,7.69,0.4759427828348505,0.31469440832249673,0.12743823146944083,0.08322496749024708
92,93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Desconocido,2.93,3.29,0.22,1.23,7.67,0.3820078226857888,0.4289439374185137,0.02868318122555411,0.16036505867014342
93,94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Desconocido,2.8,3.3,0.14,1.37,7.6,0.3684210526315789,0.4342105263157895,0.01842105263157895,0.18026315789473688
94,95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Desconocido,4.1,1.89,1.45,0.16,7.6,0.5394736842105263,0.24868421052631579,0.19078947368421054,0.02105263157894737
95,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Desconocido,3.78,2.17,1.31,0.31,7.58,0.49868073878627966,0.2862796833773087,0.17282321899736147,0.040897097625329816
96,97,Super Mario Bros. 2,NES,1988.0,Platform,Desconocido,5.39,1.18,0.7,0.19,7.46,0.7225201072386058,0.1581769436997319,0.0938337801608579,0.02546916890080429
97,98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Desconocido,3.24,1.35,2.42,0.43,7.45,0.4348993288590604,0.18120805369127518,0.32483221476510066,0.05771812080536912
98,99,Call of Duty: World at War,X360,2008.0,Shooter,Desconocido,4.79,1.9,0.0,0.69,7.37,0.649932157394844,0.25780189959294436,0.0,0.09362279511533242
99,100,Battlefield 3,X360,2011.0,Shooter,Desconocido,4.46,2.13,0.06,0.69,7.34,0.6076294277929155,0.2901907356948229,0.008174386920980926,0.09400544959128065
100,101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Desconocido,3.83,2.19,0.6,0.7,7.31,0.5239398084815322,0.29958960328317374,0.08207934336525308,0.09575923392612859
101,102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Desconocido,4.52,2.09,0.01,0.67,7.3,0.6191780821917808,0.2863013698630137,0.0013698630136986301,0.09178082191780823
102,103,Just Dance,Wii,2009.0,Misc,Desconocido,3.51,3.03,0.0,0.73,7.27,0.4828060522696011,0.4167812929848693,0.0,0.10041265474552957
103,104,Battlefield 3,PS3,2011.0,Shooter,Desconocido,2.85,2.93,0.35,1.1,7.23,0.3941908713692946,0.40525587828492393,0.04840940525587828,0.1521438450899032
104,105,Need for Speed Underground,PS2,2003.0,Racing,Desconocido,3.27,2.83,0.08,1.02,7.2,0.45416666666666666,0.39305555555555555,0.011111111111111112,0.14166666666666666
105,106,Tekken 3,PS,1998.0,Fighting,Desconocido,3.27,2.22,1.4,0.29,7.16,0.45670391061452514,0.31005586592178774,0.19553072625698323,0.040502793296089384
106,107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Desconocido,3.68,1.75,1.42,0.28,7.13,0.5161290322580645,0.24544179523141654,0.19915848527349228,0.039270687237026654
107,108,Super Smash Bros. Melee,GC,2001.0,Fighting,Desconocido,4.41,1.04,1.39,0.22,7.07,0.6237623762376238,0.1471004243281471,0.1966053748231966,0.031117397454031116
108,109,Mario Kart 8,WiiU,2014.0,Racing,Desconocido,3.13,2.07,1.27,0.49,6.96,0.4497126436781609,0.29741379310344823,0.1824712643678161,0.07040229885057471
109,110,Fallout 4,PS4,2015.0,Role-Playing,Desconocido,2.47,3.15,0.24,1.1,6.96,0.3548850574712644,0.4525862068965517,0.034482758620689655,0.15804597701149425
110,111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Desconocido,4.12,1.77,0.87,0.19,6.95,0.5928057553956835,0.25467625899280577,0.1251798561151079,0.027338129496402876
111,112,Just Dance 4,Wii,2012.0,Misc,Desconocido,4.14,2.21,0.0,0.56,6.91,0.5991316931982633,0.31982633863965265,0.0,0.08104196816208394
112,113,FIFA 14,PS3,2013.0,Sports,Desconocido,0.78,4.32,0.07,1.73,6.9,0.11304347826086956,0.6260869565217392,0.010144927536231885,0.2507246376811594
113,114,Need for Speed Underground 2,PS2,2004.0,Racing,Desconocido,2.71,3.02,0.08,1.09,6.9,0.3927536231884058,0.43768115942028984,0.011594202898550725,0.15797101449275364
114,115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Desconocido,2.93,2.75,0.17,0.99,6.83,0.42898975109809667,0.40263543191800877,0.024890190336749635,0.14494875549048317
115,116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Desconocido,2.77,2.8,0.19,1.06,6.83,0.4055636896046852,0.4099560761346998,0.027818448023426062,0.15519765739385066
116,117,Crash Bandicoot,PS,1996.0,Platform,Desconocido,3.23,2.35,0.94,0.3,6.82,0.4736070381231671,0.344574780058651,0.1378299120234604,0.0439882697947214
117,118,Zumba Fitness,Wii,2010.0,Sports,Desconocido,3.5,2.64,0.0,0.67,6.81,0.5139500734214391,0.3876651982378855,0.0,0.09838472834067549
118,119,Gears of War 2,X360,2008.0,Shooter,Desconocido,4.15,1.92,0.06,0.64,6.76,0.6139053254437871,0.28402366863905326,0.008875739644970414,0.09467455621301776
119,120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Desconocido,3.27,2.25,0.21,1.0,6.73,0.48588410104011887,0.3343239227340267,0.031203566121842493,0.1485884101040119
120,121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Desconocido,3.1,2.3,0.28,1.04,6.72,0.46130952380952384,0.34226190476190477,0.04166666666666667,0.15476190476190477
121,122,FIFA 12,PS3,2011.0,Sports,Desconocido,0.84,4.32,0.11,1.42,6.69,0.12556053811659193,0.6457399103139013,0.016442451420029893,0.2122571001494768
122,123,Big Brain Academy,DS,2005.0,Misc,Desconocido,1.67,2.78,1.6,0.62,6.67,0.25037481259370314,0.416791604197901,0.23988005997001502,0.09295352323838081
123,124,Red Dead Redemption,PS3,2010.0,Action,Desconocido,2.79,2.61,0.17,1.03,6.6,0.42272727272727273,0.39545454545454545,0.02575757575757576,0.15606060606060607
124,125,FIFA 15,PS4,2014.0,Sports,Desconocido,0.79,4.29,0.05,1.47,6.59,0.11987860394537178,0.6509863429438544,0.007587253414264037,0.22306525037936267
125,126,Donkey Kong Country Returns,Wii,2010.0,Platform,Desconocido,3.25,1.84,1.03,0.47,6.59,0.4931714719271624,0.27921092564491656,0.15629742033383917,0.07132018209408195
126,127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Desconocido,2.55,2.71,0.25,1.05,6.56,0.38871951219512196,0.413109756097561,0.038109756097560975,0.1600609756097561
127,128,The Legend of Zelda,NES,1986.0,Action,Desconocido,3.74,0.93,1.69,0.14,6.51,0.5745007680491552,0.14285714285714288,0.25960061443932414,0.021505376344086023
128,129,Assassin's Creed III,PS3,2012.0,Action,Desconocido,2.64,2.56,0.16,1.14,6.5,0.4061538461538462,0.39384615384615385,0.024615384615384615,0.17538461538461536
129,130,Halo: Combat Evolved,XB,2001.0,Shooter,Desconocido,4.98,1.3,0.08,0.07,6.43,0.7744945567651634,0.2021772939346812,0.012441679626749611,0.010886469673405912
130,131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Desconocido,2.57,1.58,2.06,0.21,6.41,0.40093603744149764,0.24648985959438377,0.3213728549141966,0.0327613104524181
131,132,Kingdom Hearts,PS2,2002.0,Role-Playing,Desconocido,3.64,1.2,1.49,0.07,6.4,0.56875,0.18749999999999997,0.23281249999999998,0.010937500000000001
132,133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Desconocido,2.55,1.56,1.29,0.99,6.39,0.39906103286384975,0.24413145539906106,0.2018779342723005,0.15492957746478875
133,134,Halo 3: ODST,X360,2009.0,Shooter,Desconocido,4.34,1.35,0.06,0.61,6.36,0.6823899371069182,0.21226415094339623,0.009433962264150943,0.09591194968553458
134,135,Red Dead Redemption,X360,2010.0,Action,Desconocido,3.7,1.97,0.09,0.57,6.34,0.583596214511041,0.3107255520504732,0.014195583596214511,0.08990536277602523
135,136,Super Mario Sunshine,GC,2002.0,Platform,Desconocido,4.01,1.26,0.87,0.17,6.31,0.6354992076069731,0.19968304278922347,0.13787638668779714,0.026941362916006344
136,137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Desconocido,2.47,0.83,2.87,0.12,6.3,0.3920634920634921,0.13174603174603175,0.4555555555555556,0.019047619047619046
137,138,World of Warcraft,PC,2004.0,Role-Playing,Desconocido,0.07,6.21,0.0,0.0,6.28,0.011146496815286625,0.9888535031847133,0.0,0.0
138,139,Driver,PS,1999.0,Action,Desconocido,3.11,2.8,0.02,0.33,6.27,0.4960127591706539,0.44657097288676234,0.0031897926634768745,0.052631578947368425
139,140,Kinect Sports,X360,2010.0,Sports,Desconocido,3.92,1.78,0.03,0.51,6.24,0.6282051282051282,0.28525641025641024,0.004807692307692307,0.08173076923076923
140,141,Gears of War 3,X360,2011.0,Shooter,Desconocido,4.05,1.62,0.07,0.49,6.24,0.6490384615384615,0.25961538461538464,0.011217948717948718,0.07852564102564102
141,142,Gears of War,X360,2006.0,Shooter,Desconocido,3.54,1.9,0.07,0.6,6.11,0.5793780687397708,0.31096563011456624,0.011456628477905075,0.09819967266775777
142,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Desconocido,2.45,2.01,0.87,0.72,6.05,0.40495867768595045,0.33223140495867765,0.143801652892562,0.11900826446280992
143,144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Desconocido,4.47,1.2,0.16,0.19,6.03,0.7412935323383084,0.1990049751243781,0.026533996683250415,0.03150912106135987
144,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Desconocido,2.63,1.74,0.83,0.83,6.03,0.43615257048092865,0.2885572139303482,0.1376451077943615,0.1376451077943615
145,146,Metal Gear Solid,PS,1998.0,Action,Desconocido,3.18,1.83,0.78,0.24,6.03,0.527363184079602,0.3034825870646766,0.12935323383084577,0.03980099502487562
146,147,The Last of Us,PS3,2013.0,Action,Desconocido,2.41,2.28,0.28,1.01,5.99,0.4023372287145242,0.3806343906510851,0.04674457429048414,0.1686143572621035
147,148,Final Fantasy XII,PS2,2006.0,Role-Playing,Desconocido,1.88,0.0,2.33,1.74,5.95,0.31596638655462184,0.0,0.3915966386554622,0.292436974789916
148,149,LittleBigPlanet,PS3,2008.0,Platform,Desconocido,2.8,2.05,0.17,0.9,5.92,0.47297297297297297,0.34628378378378377,0.028716216216216218,0.15202702702702703
149,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Desconocido,0.66,0.69,4.35,0.15,5.84,0.113013698630137,0.11815068493150685,0.7448630136986301,0.025684931506849314
150,151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,Desconocido,3.66,1.63,0.0,0.53,5.83,0.6277873070325901,0.27958833619210977,0.0,0.09090909090909091
